description,prix,code,marque,date
Laitue iceberg,1.98,20135326001_EA,None,2019-07-14 23:04
Chou frisé,1.98,20138805001_EA,None,2019-07-14 23:04
Bette à carde rouge,2.98,20275935001_EA,None,2019-07-14 23:04
Bette à carde verte,2.98,20276364001_EA,None,2019-07-14 23:04
Radicchio,3.06,20149995001_KG,None,2019-07-14 23:04
Chou-rave,3.48,20010334001_EA,None,2019-07-14 23:04
Cœurs de laitue romaine PC Biologique,4.98,20599776001_EA,le Choix du Président,2019-07-14 23:04
Courge-bouteille,2.05,20142055001_KG,None,2019-07-14 23:04
Courge poivrée,4.23,20071263001_KG,None,2019-07-14 23:04
Courges spaghetti,6.34,20307900001_KG,None,2019-07-14 23:04
Courges Buttercup,7.68,20317208001_KG,None,2019-07-14 23:04
Champignons de Paris blancs entiers,1.68,20776239_EA,le Choix du Président,2019-07-14 23:04
Champignons creminis entiers,1.68,20775805_EA,le Choix du Président,2019-07-14 23:04
Champignons de Paris,2.48,21021565_EA,le Choix du Président,2019-07-14 23:04
Champignons blancs,2.48,21021499_EA,le Choix du Président,2019-07-14 23:04
enokis entiers,2.98,21005376_EA,le Choix du Président,2019-07-14 23:04
Champignons creminis entiers,3.78,20761372_EA,le Choix du Président,2019-07-14 23:04
Champignons blancs,3.78,20738571_EA,le Choix du Président,2019-07-14 23:04
Champignons portobellos tranchés,3.98,20755816_EA,le Choix du Président,2019-07-14 23:04
Naturaly Imperfect Champignons blancs,3.98,20937529_EA,sans nom,2019-07-14 23:04
Chapeaux de champignons portobellos, paquet de 4,3.98,20753132_EA,le Choix du Président,2019-07-14 23:04
Shiitake,3.98,20626629_EA,le Choix du Président,2019-07-14 23:04
chapeaux de portobellos,3.98,20626950_EA,le Choix du Président,2019-07-14 23:04
jeunes pleurotes du panicaut entiers,4.98,21005335_EA,le Choix du Président,2019-07-14 23:04
Bok choy,1.73,20095057001_KG,None,2019-07-14 23:04
Brocoli,1.98,20145621001_EA,None,2019-07-14 23:04
Chou-chine,2.42,20015025001_KG,None,2019-07-14 23:04
Bébé bok choy shanghaïen,3.28,20073098001_KG,None,2019-07-14 23:04
Choux de Bruxelles préemballés,3.29,20808797001_KG,None,2019-07-14 23:04
Rapini,3.48,20048070001_EA,None,2019-07-14 23:04
Bébé bok choys,3.61,20082279001_KG,None,2019-07-14 23:04
Chou-fleur,3.98,20135377001_EA,None,2019-07-14 23:04
Brocoli biologique,4.48,20149635001_EA,None,2019-07-14 23:04
Chou-fleur biologique,4.98,20001440001_EA,None,2019-07-14 23:04
Chou de Savoie,5.45,20163650001_KG,None,2019-07-14 23:04
Chou vert,5.48,20793034001_KG,None,2019-07-14 23:04
Chou rouge,5.81,20773656001_KG,None,2019-07-14 23:04
Fromage bleu extra crémeux,4.48,20426302_EA,Rosenborg,2019-07-14 23:04
Fromage bleu traditionnel,4.48,20428574_EA,Castello,2019-07-14 23:04
fromage bleu,4.98,20419129_EA,le Choix du Président,2019-07-14 23:04
Fromage Bresse Bleu,5.98,21093685_EA,Papillon,2019-07-14 23:04
fromage bleu traditionnel,10.0,21062772_EA,Castello,2019-07-14 23:04
fromage féta de lait de chèvre émietté,5.48,20862068_EA,le Choix du Président,2019-07-14 23:04
Fromage de chèvre aux figues,5.48,20690427_EA,le Choix du Président,2019-07-14 23:04
Fromage de chèvre au poivre,5.48,20314830_EA,le Choix du Président,2019-07-14 23:04
fromage de chèvre non affiné à pâte molle,5.48,20000584_EA,le Choix du Président,2019-07-14 23:04
Féta émietté herbes et ail,5.48,20862432_EA,le Choix du Président,2019-07-14 23:04
Fromage chèvre fines herbes,5.48,20296631_EA,le Choix du Président,2019-07-14 23:04
fromage de chèvre non affiné à pâte molle,5.48,20330259_EA,le Choix du Président,2019-07-14 23:04
Fromage féta de lait de chèvre émietté ail et fines herbes,5.48,20889580_EA,le Choix du Président,2019-07-14 23:04
Brie de chèvre,6.48,20251597_EA,le Choix du Président,2019-07-14 23:04
Mozzarella de lait de chèvre,6.48,20302517_EA,le Choix du Président,2019-07-14 23:04
Fromage de chèvre Menu bleu,8.0,20824850_EA,le Choix du Président,2019-07-14 23:04
Fromage de chèvre en rondin,8.0,20569735_EA,le Choix du Président,2019-07-14 23:04
fromage de chèvre aux fines herbes, non affiné, à pâte molle,8.0,20569737_EA,le Choix du Président,2019-07-14 23:04
Fromage de chèvre canneberges,8.0,20419118_EA,le Choix du Président,2019-07-14 23:04
Fromage de chèvre Paillot,8.28,21067359_EA,Saputo,2019-07-14 23:04
Brie de chèvre,8.28,20036569_EA,Woolwich,2019-07-14 23:04
Chevrai,9.98,20715527_EA,Woolwich,2019-07-14 23:04
Fromage havarti léger en tranches,3.28,20769146_EA,Saputo,2019-07-14 23:05
Fromage havarti en tranches,3.28,20769093_EA,Saputo,2019-07-14 23:05
Fromage Monterey Jack Habanero Cracker Barrel,4.98,21022309_EA,Kraft,2019-07-14 23:05
Fromage gouda doux,5.0,20884326_EA,Anco,2019-07-14 23:05
Havarti aux fines herbes et épices,5.0,20574963_EA,Arla,2019-07-14 23:05
Fromage havarti, fumé,5.0,20972625_EA,Arla,2019-07-14 23:05
